ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s26s32.000079,49.70480864082933,-34.26462101795082,0.97968274,0.045134366,1.0472678,"[0.7490443,1.4341812,2.1278086,3.896519]",2.0805047,45.0,4.0498843,14.306856,1.6924521,18.904,0.04784104,19.14141,0.09097706,19.272202,0.16110782,18.61483,0.090838104,18.750174,0.09790719,18.428068,0.02905568,18.445263,0.09755933,18.35134,0.022187412,18.406734,18.41742,18.426414,0.026352363,18.372139,0.028471446,18.267857,0.05435796,18.242294,0.043650083,3
iDR3.SPLUS-s26s32.000215,49.49402810147448,-34.258389124182834,0.965785,0.03666556,1.0380611,"[0.7595575,1.4343884,2.1130044,3.8551083]",2.126902,78.0,3.5442085,13.391776,1.8993347,20.662462,0.2276829,20.692442,0.36360136,20.359888,0.42610738,19.612846,0.22293746,19.343597,0.16716436,18.337105,0.02703053,18.373579,0.09223106,17.39834,0.01021184,17.428026,17.41537,17.331326,0.010901007,17.047863,0.009449342,16.912401,0.0170071,16.855104,0.013022059,3
iDR3.SPLUS-s26s32.000223,50.01578269693172,-34.25991672907925,0.98158836,0.018167257,1.0185034,"[0.7476315,1.4303563,2.1251733,3.8879354]",2.1202931,63.0,3.6888204,13.738839,1.7563238,19.774471,0.099276714,19.551834,0.12615345,19.59837,0.20777754,18.764523,0.09961201,18.673183,0.08791186,18.213047,0.023312388,18.246986,0.07926349,17.683414,0.012466784,17.71276,17.712524,17.677402,0.013909685,17.556793,0.013764615,17.43265,0.025397105,17.482073,0.021507477,3
iDR3.SPLUS-s26s32.023741,50.7903256923939,-33.54004417667609,0.98499006,0.0674665,1.0723475,"[0.68299574,1.1994687,1.8012328,3.245032]",1.900513,25.0,4.0798926,14.750079,1.4208354,99.0,21.322935,21.377033,0.5781139,20.734034,0.51045555,21.014217,0.6538926,20.656837,0.45090678,20.59948,0.1663575,21.052122,0.83447766,19.161299,0.03741472,19.176481,19.204407,18.862995,0.03227409,18.452427,0.025405481,18.09926,0.038754094,18.145079,0.032910563,3
iDR3.SPLUS-s26s32.023743,50.551658158430975,-33.541051644224765,0.9807526,0.042994022,1.0449256,"[0.6963922,1.3103169,1.9224778,3.490374]",1.8721465,49.0,3.727207,13.978803,1.6204814,21.160034,0.33307764,21.699963,0.84837866,21.45567,1.0773928,19.74871,0.22083415,19.439318,0.15986316,18.829073,0.03658938,19.006804,0.14141326,18.146868,0.017084986,18.152887,18.153015,18.007917,0.017096797,17.787834,0.01544577,17.666945,0.028510239,17.629057,0.02239569,3
iDR3.SPLUS-s26s32.023766,49.91854113982754,-33.546237066916376,0.96908516,0.07670641,1.0830791,"[0.7520219,1.3961864,2.0970502,4.0883822]",1.9860142,140.0,3.2508874,12.696332,2.3414192,18.607494,0.042661995,18.2584,0.048736632,17.93999,0.058093317,17.53012,0.038621973,17.455307,0.034753006,17.034569,0.009940784,16.959208,0.0307838,16.580069,0.005995721,16.638126,16.595818,16.547634,0.0066207647,16.459856,0.006349874,16.411907,0.012107535,16.395082,0.009519012,3
iDR3.SPLUS-s26s32.023808,50.20011804109234,-33.55488738145612,0.8265564,0.021908402,1.0223992,"[0.75256914,1.4189723,2.142369,4.298105]",2.0403852,489.0,2.6712902,10.690683,2.9646485,16.19951,0.00685035,15.864088,0.008198304,15.728976,0.011189685,15.30302,0.007606705,15.242065,0.0070499126,14.905593,0.0024500464,14.800926,0.0074402117,14.501613,0.0017041203,14.567474,14.475383,14.482768,0.0019380884,14.38897,0.001693005,14.38396,0.0030292165,14.358608,0.0022203384,3
iDR3.SPLUS-s26s32.023825,49.28826184872197,-33.53774398039219,0.9755507,0.09642613,1.1067164,"[0.7066319,1.3071989,1.8362912,3.1002998]",1.9971006,27.0,3.9383173,14.821804,1.4528503,23.152552,1.816059,21.176361,0.462157,21.646845,1.1276268,21.766933,1.2946391,99.0,20.543228,20.461676,0.14594536,20.218504,0.38900366,19.070047,0.034471665,19.074821,19.129995,18.929283,0.034046575,18.609291,0.029149892,18.356014,0.048185177,18.343916,0.039003305,3
iDR3.SPLUS-s26s32.023838,49.58279304337768,-33.54446426023349,0.89566725,0.051901042,1.0547422,"[0.7514692,1.4189698,2.1145487,4.0658307]",2.088928,258.0,2.9201934,11.548156,2.5647717,16.927158,0.010627244,16.561161,0.012322224,16.373007,0.016280565,16.173859,0.013149644,16.064522,0.0116971955,15.889546,0.0043317564,15.788211,0.0131672155,15.564771,0.003030599,15.615934,15.574868,15.550038,0.0034289663,15.450534,0.0031273493,15.43932,0.005825231,15.416521,0.0044142758,3
iDR3.SPLUS-s26s32.023841,50.54520655347826,-33.538664744577055,0.9998643,0.08764362,1.0960629,"[0.7067947,1.2364538,1.9034839,3.6434345]",1.8579344,58.0,3.5303848,13.638453,1.9015852,21.622477,0.55217063,99.0,21.004707,21.055777,0.8119486,20.71289,0.5758926,21.517807,1.1502047,19.7099,0.08611359,19.20367,0.18173794,18.265223,0.020135839,18.300327,18.316626,17.879805,0.016417656,17.285816,0.010957379,16.989834,0.017358797,16.877743,0.012691665,3
iDR3.SPLUS-s26s32.023848,50.10925872211757,-33.53936800401856,0.9799637,0.03099227,1.0319835,"[0.6701053,1.2824982,1.856943,3.3762565]",1.8854163,42.0,3.7547204,14.107888,1.632502,22.30718,1.0008794,21.955767,1.1280398,23.178555,5.5159707,21.256912,0.896892,20.64135,0.4880225,19.992418,0.105316676,21.095566,0.95336473,18.758377,0.029377991,18.764967,18.746262,18.356222,0.023346031,17.779816,0.015648242,17.46442,0.02454895,17.362436,0.018204002,3
iDR3.SPLUS-s26s32.023860,49.67979824470648,-33.53847429327556,0.97912765,0.04552847,1.0477002,"[0.68448544,1.3471667,1.9270254,3.501593]",1.9484915,46.0,3.6419084,14.045126,1.6358868,21.056164,0.29740113,20.387316,0.25183684,19.475216,0.1756187,19.450615,0.16530721,19.413391,0.15287288,18.795628,0.034840297,18.837845,0.11957017,18.260042,0.018471768,18.266653,18.263994,18.154928,0.018967694,18.013474,0.018391531,17.926716,0.03516509,17.926296,0.028643347,3
iDR3.SPLUS-s26s32.023871,50.0637593284248,-33.538516001067734,0.9814157,0.081097245,1.0882545,"[0.73440593,1.3679013,2.068937,3.9311004]",1.9445444,69.0,3.4715672,13.555068,1.9215372,19.075659,0.057053193,18.592913,0.058011197,18.544607,0.08720872,18.269997,0.06461273,18.24299,0.06041889,17.925472,0.01834481,17.863485,0.057474457,17.578112,0.011646742,17.621386,17.568851,17.561087,0.012897352,17.46856,0.012689084,17.401947,0.024444852,17.430738,0.02030746,3
iDR3.SPLUS-s26s32.023906,49.9744116259899,-33.53802732030224,0.9840594,0.09113693,1.1002758,"[0.71172476,1.3471092,2.0306754,3.8188996]",1.9619095,95.0,3.3044353,13.027949,2.1128907,19.469273,0.083485566,19.36634,0.11801852,18.939518,0.12746897,18.244751,0.06543837,18.140354,0.057234798,17.68142,0.015491235,17.545633,0.045702517,17.011993,0.007765255,17.04343,17.021496,16.955828,0.008404298,16.794643,0.007673645,16.724022,0.014437289,16.682055,0.011144902,3
iDR3.SPLUS-s26s32.023910,50.72252880857376,-33.537570471239654,0.98508614,0.0070806146,1.0071311,"[0.70672184,1.364297,2.0086925,3.8130004]",1.9498737,181.0,3.0128367,11.984876,2.2531013,20.547068,0.2127055,19.823187,0.1716516,19.552446,0.21285649,18.693615,0.09704591,18.461632,0.07570123,17.449196,0.012850925,17.487213,0.04358551,16.257988,0.0045177555,16.294739,16.291254,16.053581,0.0045051277,15.693051,0.0035122617,15.496793,0.005764726,15.431604,0.0042177807,3
iDR3.SPLUS-s26s32.023916,50.86549777390261,-33.536047674595714,0.8898761,0.11088061,1.1247083,"[0.8278572,1.7132173,3.2065928,6.672067]",1.9395798,132.0,3.4112577,13.236325,2.8646152,19.4185,0.10278508,19.036524,0.11311226,19.171852,0.2021963,18.285126,0.09013377,18.317015,0.08866859,17.784992,0.02181603,17.649406,0.06421947,17.110249,0.010146972,17.287092,17.207016,17.08302,0.0111130625,16.830872,0.009872268,16.742569,0.018733796,16.692158,0.014565041,3
iDR3.SPLUS-s26s32.023985,49.35031874372611,-33.53340497751809,0.97690254,0.07064122,1.0760107,"[0.67713827,1.3549676,1.9575901,3.3535292]",1.9315724,35.0,3.8581562,14.495476,1.5306388,26.366135,37.4713,99.0,21.004707,21.483206,1.0394174,99.0,20.354605,21.03537,0.6594172,20.643068,0.17909802,20.016674,0.33740392,19.307384,0.044120748,19.324377,19.31806,18.871334,0.033697292,18.196463,0.02128816,17.894217,0.033779923,17.70667,0.02335741,3
iDR3.SPLUS-s26s32.000298,50.39206648488283,-34.25691316263708,0.9846587,0.035013795,1.0362842,"[0.7057469,1.375798,2.0070715,3.7609003]",1.9462779,96.0,3.4097612,13.044399,1.9982373,20.251514,0.15685236,20.063007,0.20539048,20.54446,0.50395197,19.065075,0.13475178,18.812237,0.102893844,18.084269,0.021591565,18.100826,0.07231164,17.131552,0.0083144475,17.166506,17.179193,16.99443,0.008471787,16.726845,0.007300428,16.575008,0.012886215,16.495752,0.009615838,3
iDR3.SPLUS-s26s32.000353,49.81596246416071,-34.25617171778578,0.9803698,0.053132296,1.0561137,"[0.74324197,1.4310168,2.1616282,4.2547245]",2.0545416,66.0,3.6122715,13.789667,1.9554216,19.638245,0.09320953,19.290901,0.1060188,19.380495,0.18130586,18.752316,0.10397679,18.632027,0.08940909,18.179653,0.023795374,18.032291,0.06939507,17.790915,0.014163356,17.83305,17.825602,17.77449,0.015639862,17.61787,0.015172295,17.691906,0.033327647,17.612755,0.02538079,3
iDR3.SPLUS-s26s32.000363,50.37737426193932,-34.257983900244355,0.98015577,0.022182941,1.0226862,"[0.7358688,1.3828089,2.0437372,3.9192476]",2.0423417,165.0,3.1216984,12.3183975,2.220932,19.15885,0.06074572,18.978382,0.08018058,18.76931,0.105010636,17.8736,0.04871891,17.76337,0.04249519,17.166862,0.010503901,17.006643,0.030468795,16.41051,0.0050522164,16.458496,16.447311,16.334131,0.0054450477,16.084904,0.0046522096,15.96757,0.008245476,15.938637,0.0063054534,3
iDR3.SPLUS-s26s32.000369,50.37000028258211,-34.25463007131836,0.98137176,0.06226617,1.0664008,"[0.710785,1.3560008,1.9777057,3.6506603]",1.9946125,51.0,3.7346723,13.891124,1.6776606,20.811726,0.23971963,20.884756,0.3980998,21.165922,0.81669927,19.394531,0.1668395,19.331726,0.15078123,18.863611,0.03906664,18.81914,0.124432914,18.05324,0.016078161,18.07164,18.076937,17.970255,0.016831204,17.73452,0.015255164,17.655077,0.02932287,17.597403,0.022669176,3
iDR3.SPLUS-s26s32.000445,50.22921287609621,-34.258806889267575,0.99845517,0.025950551,1.026642,"[0.74678993,1.4132779,2.093312,4.022883]",2.0454261,309.0,2.8619108,11.286686,2.5300121,17.346687,0.013964048,17.078539,0.017298592,16.833101,0.021940997,16.258083,0.013853724,16.16111,0.012424511,15.726061,0.003877089,15.592874,0.011553587,15.21269,0.0024346963,15.263165,15.2295,15.190367,0.0027534934,15.035683,0.0023961659,14.999385,0.0042992956,14.966038,0.0031780633,3
iDR3.SPLUS-s26s32.000448,50.1067705277531,-34.25455425171386,0.9803871,0.095942795,1.1061248,"[0.74256164,1.386974,2.056897,3.9518685]",2.037441,134.0,3.2514982,12.612765,2.254771,20.178999,0.15525764,20.15746,0.23644678,20.000431,0.3249846,18.654465,0.098009944,18.471846,0.07979473,17.619656,0.015291446,17.665514,0.05233774,16.617764,0.005919838,16.667414,16.662249,16.494843,0.006148972,16.224491,0.0052078124,16.105196,0.009296621,16.046558,0.0069894283,3
iDR3.SPLUS-s26s32.000458,49.67833441637455,-34.25389497467122,0.9746097,0.040825546,1.0425632,"[0.7493852,1.4269735,2.0951476,3.9285855]",2.1342525,113.0,3.2592394,12.817789,2.1635456,18.600855,0.03797274,18.226984,0.042571418,18.28722,0.07003884,17.603523,0.039177716,17.53017,0.035308152,17.17611,0.010664315,17.075363,0.032380562,16.787743,0.0066224127,16.826517,16.792128,16.758505,0.0073232884,16.625008,0.0069565186,16.599247,0.013541048,16.584759,0.010686749,3
iDR3.SPLUS-s26s32.000489,49.43171639179072,-34.2503121451253,0.9749802,0.030974746,1.0319649,"[0.7311675,1.394942,2.013678,3.596578]",2.197112,41.0,3.613098,14.252249,1.6268507,23.812664,3.5351436,99.0,21.004707,21.466278,1.0133723,21.612476,1.1971208,20.025095,0.2686803,19.561523,0.06910921,19.361988,0.1919515,18.386723,0.020222658,18.402403,18.41347,18.28917,0.020862276,17.878086,0.016550291,17.711126,0.029406961,17.677021,0.023177104,3
iDR3.SPLUS-s26s32.000522,49.40195735569738,-34.25180432248315,0.9701793,0.080429435,1.0874641,"[0.78407055,1.4596134,2.1586657,3.9275706]",2.1898205,133.0,3.3322842,12.560702,2.1196043,18.292973,0.02851021,17.974539,0.033624943,17.728909,0.042645395,17.333607,0.030957911,17.272318,0.028242849,16.944231,0.008853808,16.77077,0.025476187,16.48509,0.0052876356,16.52726,16.490294,16.476849,0.005959525,16.332314,0.0055452157,16.294744,0.010497105,16.293941,0.008286301,3
iDR3.SPLUS-s26s32.024010,49.709561865200456,-33.534277919036924,0.9821217,0.09936446,1.110327,"[0.6601596,1.327564,1.8838724,3.4360406]",1.9538587,62.0,3.4223773,13.431751,1.7890717,21.34017,0.3906305,20.945646,0.42376983,21.73183,1.3808172,19.932632,0.2585663,20.318966,0.35079214,19.14033,0.047607955,18.854525,0.1228367,17.935514,0.01436172,17.953634,17.945566,17.670547,0.013100285,17.197119,0.009613974,16.93699,0.015612238,16.87944,0.01188206,3
iDR3.SPLUS-s26s32.024041,50.8403588814346,-33.5312808228312,0.96731025,0.06066352,1.0645813,"[0.6969577,1.3946698,2.0857468,3.5683365]",1.9338979,39.0,3.9328532,14.641054,1.5684698,21.611126,0.48985878,20.96577,0.42256176,20.182487,0.32894263,20.076027,0.29586697,20.265133,0.33569768,19.481457,0.0646356,19.220522,0.17005904,18.874332,0.030861171,18.889303,18.83218,18.810999,0.03255917,18.519604,0.028429719,18.549208,0.060815815,18.440922,0.04534976,3
iDR3.SPLUS-s26s32.024042,49.7365126042565,-33.53324058229542,0.9654732,0.07508141,1.0811763,"[0.65220046,1.2574525,1.7852658,3.2520297]",1.837786,29.0,3.8145936,14.498899,1.4566773,24.32072,5.6027265,22.506353,1.6441143,99.0,20.218988,21.619785,1.1114873,20.922647,0.56114423,20.599258,0.16247922,20.63187,0.55589783,19.346674,0.043915752,19.345146,19.321735,18.95915,0.035011426,18.324951,0.022531709,17.906374,0.032499023,17.816238,0.024418257,3
