ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s27s36.010807,58.18950066833448,-35.263095472412736,0.47407132,0.12708735,1.14559,"[0.8206206,1.5507989,2.5095315,5.301985]",3.556315,4.0,6.6527534,17.669413,0.9734568,99.0,21.535622,21.473743,0.7715743,99.0,20.459126,99.0,20.092134,99.0,20.464106,21.677504,0.6026534,20.554663,0.4316576,21.333803,0.3467157,21.426275,21.962877,21.828869,0.5992789,22.036957,0.7960543,20.285538,0.32467636,20.601349,0.36246753,6
iDR3.SPLUS-s27s36.010825,57.8009603778958,-35.26403114301362,0.49338755,0.4331227,1.7640501,"[1.1920475,2.162913,2.8807006,3.5832305]",6.8170323,2.0,8.419333,17.992239,1.5162001,99.0,21.535622,21.81953,1.7055213,19.797626,0.41028973,21.30181,1.7131078,21.959236,3.0584846,20.299957,0.26779222,21.343134,1.3996218,21.496649,0.6471179,21.240273,21.151377,21.058868,0.47498402,21.79653,1.0164149,19.764002,0.3195698,25.65055,60.284428,6
iDR3.SPLUS-s27s36.009092,57.19027178607118,-35.32046493767482,0.32654482,0.21635658,1.2760906,"[1.0658956,2.8860822,3.6381757,4.4215913]",0.0,1.0,8.474953,17.86035,0.9688872,22.711637,1.8114405,22.681108,2.7990918,99.0,20.459126,99.0,20.092134,21.225021,1.1624821,24.242413,7.510589,99.0,20.530437,22.027813,0.7876006,99.0,23.103222,20.855732,0.29490086,20.969738,0.35682815,21.506899,1.1895214,20.444056,0.3747407,6
iDR3.SPLUS-s27s36.010850,57.631284685946966,-35.26355767839959,0.35939848,0.35904676,1.5601761,"[1.1550478,2.3252616,4.401803,3.8703232]",4.449844,2.0,7.0856104,17.850239,1.1276608,22.517519,1.3495357,99.0,20.935532,21.757645,1.6411843,21.44856,1.295883,22.099869,2.2991576,20.936451,0.31796622,99.0,20.530437,22.008484,0.6880365,21.823439,22.203434,22.535631,1.2258154,20.845177,0.2813177,20.810938,0.5547598,21.924183,1.2914517,6
iDR3.SPLUS-s27s36.009103,57.15405386792358,-35.31995704997976,0.34009707,0.21843785,1.2794888,"[0.9426454,1.849103,2.4937658,4.1863146]",0.0,1.0,8.188121,18.006283,0.94787765,21.340017,0.48345622,99.0,20.935532,99.0,20.459126,21.553444,1.516297,20.274834,0.45772597,23.221756,2.7595954,20.613323,0.5034717,21.652737,0.52485466,21.303848,21.557127,21.262442,0.40273017,20.966341,0.3346408,22.445545,2.6529949,21.454145,0.8919279,6
iDR3.SPLUS-s27s36.009173,57.57907002986845,-35.318532736164066,0.3104686,0.27633578,1.3818563,"[0.9222876,1.5697447,2.1127276,2.957461]",0.0,1.0,7.1444283,18.176191,0.93153876,24.835466,10.069695,99.0,20.935532,21.403013,1.0487669,20.766665,0.6136368,99.0,20.464106,21.827446,0.6369678,99.0,20.530437,21.963057,0.58371276,21.786617,22.048016,21.135197,0.30016053,22.320946,0.964588,20.929441,0.5471972,21.17695,0.5744087,6
iDR3.SPLUS-s27s36.009179,57.66432817740626,-35.318163623779135,0.13573977,0.20314497,1.2549334,"[1.4987131,3.6788342,5.717643,5.717643]",5.0580664,1.0,8.302949,18.201752,0.95294046,22.928236,2.1899765,20.802868,0.49433157,20.231356,0.45070755,21.020462,0.9724373,21.56637,1.5655934,21.528778,0.60857743,21.377558,1.0618198,21.221367,0.37076968,21.474491,21.301846,20.757973,0.2662695,20.583735,0.24565744,20.77029,0.59312826,21.277409,0.7909105,6
iDR3.SPLUS-s27s36.009183,57.17377234236421,-35.317589832934594,0.39690742,0.18637234,1.2290634,"[0.7165659,1.3489515,1.6916206,1.9943848]",0.0,1.0,8.306989,18.152729,0.9334584,99.0,21.535622,21.06906,0.619159,99.0,20.459126,22.504631,3.759574,22.82642,4.9292927,22.37635,1.3105019,99.0,20.530437,22.177837,0.8790104,22.233757,22.107412,99.0,21.833641,23.756466,4.502012,24.863846,25.424177,21.314829,0.8111868,6
iDR3.SPLUS-s27s36.009208,58.3413184339622,-35.31470613432946,0.39990982,0.4816519,1.9292054,"[1.4128321,2.4743662,4.0003686,6.6542525]",6.423336,1.0,8.081093,18.23357,1.4950159,20.866846,0.39804736,22.766499,3.6242776,99.0,20.459126,20.133976,0.5366798,20.672127,0.8573728,21.234087,0.57812864,20.234692,0.46308568,21.823372,0.7799046,22.464685,21.675789,21.452568,0.6087168,21.203564,0.5325606,20.400732,0.51789355,21.280499,0.97312236,6
iDR3.SPLUS-s27s36.009225,57.84065077758075,-35.316518662200096,0.3475629,0.4993133,1.997257,"[1.54996,2.8225381,3.765224,6.2164884]",0.0,0.0,8.743366,18.399975,1.1953881,22.894894,2.2227592,21.405462,0.8984223,21.283163,1.2351592,20.919693,0.9292441,21.865713,2.1612945,20.842905,0.33990183,99.0,20.530437,22.192768,0.9455342,22.585875,21.998484,21.180262,0.40946397,21.352943,0.5207418,99.0,20.604609,20.717077,0.4943946,6
iDR3.SPLUS-s27s36.009281,57.08538251159988,-35.31371815065387,0.040253334,0.17453325,1.2114359,"[1.5076033,3.9046543,5.8169317,7.283042]",3.49236,4.0,8.911742,17.800026,1.2138404,21.887287,1.1616474,20.007421,0.3287903,99.0,20.459126,20.314783,0.70941097,19.757215,0.4148531,21.674044,0.97078794,20.198238,0.5014887,20.297007,0.21935321,21.012283,21.287159,99.0,21.833641,20.129105,0.22557783,25.708265,77.90067,20.591671,0.58667797,6
iDR3.SPLUS-s27s36.009292,57.27942997441193,-35.31393184117397,0.1033935,0.052657843,1.0555848,"[1.3617142,3.3111217,5.638159,7.8773847]",3.6831279,11.0,7.227328,17.131927,1.3128974,99.0,21.535622,21.054659,0.7995461,19.920183,0.43474305,19.875488,0.43899724,20.92917,1.1256771,20.834652,0.4152997,21.489351,1.5197803,20.536951,0.25545406,20.91473,20.973822,20.513462,0.27447006,19.889389,0.16850147,19.350485,0.20918663,19.307238,0.16800538,6
iDR3.SPLUS-s27s36.009300,56.92508819883282,-35.31193899881262,0.39356533,0.49500048,1.9801999,"[0.7004169,1.1484971,1.4900203,1.91567]",0.0,1.0,6.8067884,18.05558,0.90472406,99.0,21.535622,99.0,20.935532,99.0,20.459126,99.0,20.092134,20.431376,0.34794602,24.647993,6.701381,21.019257,0.4796097,22.232325,0.5777449,21.900473,22.83371,22.057455,0.5403404,26.142462,25.410934,24.066067,7.6222744,20.74369,0.30093566,6
iDR3.SPLUS-s27s36.009326,56.82094480007493,-35.3106296397419,0.018567922,0.46911293,1.8836398,"[1.4656855,3.570374,5.3844624,8.986577]",5.5013885,7.0,7.1676145,17.578615,2.0686228,22.217169,1.7116089,21.019688,0.9043474,99.0,20.459126,99.0,20.092134,20.136648,0.6494719,21.44777,0.8720286,20.899117,1.0556461,20.687122,0.34217784,21.483723,21.195326,20.607687,0.34916636,20.14424,0.25124148,99.0,20.604609,19.633732,0.2656526,6
iDR3.SPLUS-s27s36.009329,58.0836249331699,-35.3114810243885,0.04013897,0.40597695,1.6834363,"[,2.0887015,4.4610987,7.0314164,10.425492]",4.6563034,4.0,7.928424,17.839067,2.017737,99.0,21.535622,21.179737,1.2016265,99.0,20.459126,19.67483,0.49454367,20.555883,1.0832661,21.131632,0.7400464,20.468657,0.80651194,20.64263,0.3743387,21.070145,20.86175,20.000101,0.22782208,19.94862,0.23753932,19.265354,0.25833985,19.44149,0.2539887,6
iDR3.SPLUS-s27s36.009349,56.88229251473866,-35.31028950435274,0.47980204,0.16954958,1.2041658,"[1.2971497,2.897427,5.670307,8.048343]",6.0269394,6.0,7.1810656,17.178907,1.438019,99.0,21.535622,22.058346,2.0720758,22.59218,5.2112045,19.99033,0.5082692,21.58928,2.153142,21.130198,0.56793714,99.0,20.530437,20.554588,0.26616699,20.600687,20.51112,20.754248,0.35089463,20.177717,0.22674546,19.47491,0.2412788,19.37161,0.1834505,6
iDR3.SPLUS-s27s36.009350,56.70232887756175,-35.309140766588285,0.43622348,0.19706702,1.245434,"[1.3510429,3.9333146,5.677299,7.54055]",6.7239056,5.0,7.9762464,17.581556,1.2567583,21.899412,1.0523108,20.842424,0.6333407,20.627708,0.7999217,23.127127,8.795602,99.0,20.464106,20.781033,0.39860326,19.993303,0.38796592,20.715302,0.29503247,21.310041,21.192602,20.614296,0.29523402,20.514015,0.29666722,22.230246,2.889544,19.97082,0.30269685,6
