ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s25s35.009846,54.70471789341399,-32.70493088023506,0.0020751832,0.08632445,1.0944804,"[1.7675238,3.9853556,5.818925,8.216304]",7.369721,16.0,7.541989,17.62216,2.020553,21.285269,0.65581596,20.780138,0.6771773,20.053705,0.5541667,20.429201,0.7642589,99.0,20.889978,23.270754,3.4051204,20.144304,0.44120803,20.024792,0.16009207,20.688848,19.79984,19.430677,0.0948657,19.386656,0.1237346,19.27832,0.27985892,18.795351,0.13723792,6
iDR3.SPLUS-s25s35.009971,53.78928521479953,-32.70261224729924,0.113874055,0.31265122,1.4548655,"[1.2968678,2.7282968,3.7420042,5.365077]",3.9507353,5.0,6.884252,17.924063,1.6916409,99.0,21.587793,20.863947,0.48265743,21.366375,1.2181221,21.652176,1.5383372,22.196098,2.4388423,22.372797,0.9742887,99.0,21.206501,21.068888,0.2770464,21.214128,21.55041,21.171364,0.30940384,21.154387,0.41439554,20.418037,0.52633053,19.790972,0.22609764,6
iDR3.SPLUS-s25s35.009987,53.44158338090771,-32.70079909530928,0.058859136,0.35169125,1.5424749,"[1.7364761,3.2772958,4.940697,6.9153376]",6.9805284,3.0,9.004587,18.419243,1.4514316,21.682459,0.690416,20.614388,0.4258905,99.0,20.646551,20.184998,0.4513794,21.054941,0.96323735,21.726105,0.6061849,20.595003,0.4926585,20.741718,0.22707778,21.461273,22.278666,20.360117,0.16315517,21.767673,0.8130828,20.830143,0.85240203,21.573746,1.2909764,6
iDR3.SPLUS-s25s35.010021,54.35175442778982,-32.70209593921627,0.060406953,0.16910839,1.2035264,"[1.2771819,2.8592763,4.4874196,7.0201497]",3.3216338,13.0,6.847097,17.281569,1.4782497,23.337202,2.7321064,23.05435,3.4595845,22.913794,4.846989,99.0,20.649456,99.0,20.889978,21.56404,0.44308773,20.48636,0.37871626,20.619741,0.17637853,20.968067,20.652143,20.370403,0.14323668,19.995651,0.13682137,19.2716,0.17587629,19.250145,0.13161181,6
iDR3.SPLUS-s25s35.010056,54.842242279963386,-32.69945602787603,0.014008274,0.21526659,1.2743181,"[1.8027571,3.908658,6.1614404,8.878152]",8.897758,5.0,7.6756763,18.248005,1.678311,21.30607,0.5234298,21.464878,0.9941172,21.223928,1.2698274,19.929008,0.38145253,20.397903,0.5633603,21.02704,0.34108442,99.0,21.206501,20.715683,0.2363871,21.309732,20.828537,20.814896,0.263205,20.259197,0.21650374,19.615608,0.2997772,20.093334,0.3550372,6
iDR3.SPLUS-s25s35.010083,54.3495839836738,-32.70075949201419,0.55161834,0.20468074,1.2573568,"[1.4285129,5.7504096,6.8692913,7.458947]",3.2259464,6.0,7.89453,17.750948,1.2431579,22.98378,1.8822231,99.0,21.146276,99.0,20.646551,99.0,20.649456,99.0,20.889978,21.374496,0.35534504,21.58109,0.98434824,20.423075,0.14077243,21.48078,20.87518,20.979635,0.23785262,20.177277,0.15409994,20.414314,0.47771084,20.185226,0.2956822,6
iDR3.SPLUS-s25s35.010090,54.72543346535377,-32.69953198794971,0.3238809,0.6270236,2.6811347,"[1.7066126,2.929074,4.043538,8.319503]",7.454129,2.0,7.151655,18.354622,2.099783,24.457859,7.6705265,22.80636,2.7561786,22.39795,3.0181859,24.928244,30.308363,21.990744,1.9512975,22.156408,0.7718211,99.0,21.206501,21.100908,0.27204904,21.258644,21.20479,21.91749,0.5842658,21.13393,0.38896292,19.846174,0.2984621,20.780903,0.5376751,6
iDR3.SPLUS-s25s35.010123,54.13092358907985,-32.700149573326804,0.0628268,0.12266123,1.1398106,"[1.1085105,1.7684622,2.2596846,2.9601605]",6.84744,4.0,7.907629,18.305973,1.2241366,23.628521,3.5343132,99.0,21.146276,21.805523,1.7310334,22.15359,2.3043747,99.0,20.889978,21.99955,0.6534021,99.0,21.206501,21.178446,0.29139853,21.616858,21.416388,99.0,22.391218,22.071999,0.9110514,21.10773,0.9393934,21.099428,0.71228516,6
iDR3.SPLUS-s25s35.010217,53.56542679486705,-32.6965965888849,0.009814321,0.46707934,1.876452,"[1.240414,2.748815,4.208685,5.349697]",7.118437,5.0,7.385156,18.243206,1.7051215,21.462633,0.4894848,23.93927,7.8288245,20.94632,0.79723054,99.0,20.649456,21.23773,0.97960436,22.409185,0.97597915,22.120455,1.7177234,20.823242,0.21177955,21.289106,20.750288,21.20284,0.30470872,21.369164,0.48555592,19.936783,0.32449543,20.556026,0.43754026,6
iDR3.SPLUS-s25s35.010218,54.68178615234426,-32.69692106213033,0.014089168,0.3351211,1.5040332,"[1.4289978,3.36023,5.5321636,7.285542]",6.750665,5.0,7.9009385,18.192842,1.3865209,21.31713,0.4165016,22.332533,1.7350775,20.56295,0.54583305,23.424511,7.3861256,24.959454,29.185902,22.758371,1.3060989,99.0,21.206501,20.954556,0.23167877,21.341246,21.28988,20.834862,0.21139114,20.900936,0.30574486,19.64192,0.24098602,20.376757,0.36096838,6
