ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label,P(Group_6)
iDR3.SPLUS-s25s32.020036,49.49432849433696,-32.3505629663833,0.45962408,0.44987488,1.8177682,"[1.242211,2.5662715,5.71492,6.890029]",6.085031,4.0,7.132851,18.22932,1.3756977,22.587456,1.1291546,22.899883,2.4642196,23.743624,9.103685,23.058073,4.3313804,21.155928,0.74027354,22.343533,0.7218432,21.959938,1.1804967,21.923925,0.45811942,22.02014,22.050888,21.547064,0.3327708,20.859621,0.22817954,21.274414,0.72295064,21.610172,0.81943,6,0.6322256470329314
iDR3.SPLUS-s25s32.000003,48.584174054264935,-32.9438116900758,0.35485587,0.5407952,2.1776776,"[1.6309174,6.080961,8.323008,8.323008]",5.5991454,3.0,8.338106,17.924402,1.3871679,99.0,21.589981,26.426805,63.890427,99.0,20.432768,25.716606,55.44349,99.0,20.803356,22.421576,0.8581217,99.0,21.03316,21.640142,0.3772573,21.733967,22.002377,22.599194,0.93122745,21.177631,0.3376402,23.768717,7.8717294,20.785189,0.4214352,6,0.5430986610541553
iDR3.SPLUS-s25s32.020167,48.99887611965361,-32.34629861428467,0.079947755,0.368976,1.5847257,"[1.0609581,1.928098,2.6100047,3.696454]",5.91568,8.0,6.762239,18.250412,1.5371802,23.329994,2.4743235,99.0,21.002748,21.375847,1.1440635,21.481037,1.140747,99.0,20.803356,22.532845,0.9632144,99.0,21.03316,21.91085,0.5074369,21.84273,21.736881,21.57514,0.38238153,22.203756,0.88770485,20.599016,0.4416433,20.181122,0.25048912,6,0.5973913843906415
iDR3.SPLUS-s25s32.020192,48.863412379031104,-32.34515253231793,0.27887005,0.21926248,1.2808403,"[0.8268616,1.3060769,1.6759771,2.0940735]",3.2113233,5.0,6.988304,18.184616,1.5178416,23.02422,2.1077924,21.846762,1.1701818,99.0,20.432768,99.0,20.54751,20.08637,0.35369506,99.0,21.97403,23.151669,4.4940677,21.794683,0.5151312,21.388641,21.34677,21.528685,0.41358653,21.499344,0.5266874,20.249308,0.36298934,99.0,21.001133,6,0.7861967450547478
iDR3.SPLUS-s25s32.020197,48.89285547440951,-32.34515964773021,0.35058784,0.49351525,1.974393,"[1.2091384,2.0684462,2.988887,4.4429803]",6.3464117,2.0,7.1781397,18.441517,1.4945277,22.643341,1.2192575,21.823551,0.9411104,99.0,20.432768,99.0,20.54751,23.490915,6.6046896,99.0,21.97403,22.439764,1.916141,21.346947,0.28101844,21.534006,21.396736,20.97776,0.20602828,21.623562,0.48478585,20.679234,0.4423689,20.843212,0.42783996,6,0.9513627431120778
iDR3.SPLUS-s25s32.020210,49.24678850244397,-32.34558637438143,0.08061308,0.23692185,1.3104818,"[1.1450728,2.1703162,2.86482,4.140869]",7.129786,4.0,7.652424,18.448254,1.366156,25.88662,29.447756,22.148252,1.5465442,99.0,20.432768,99.0,20.54751,21.281776,1.0426638,21.642744,0.47665018,20.975834,0.60125536,21.888908,0.5584676,22.202095,22.16358,21.399523,0.36541674,21.005789,0.32953835,22.647053,3.2370288,28.040918,387.4918,6,0.6945494522884795
iDR3.SPLUS-s25s32.020242,49.08467503923994,-32.344376902607166,0.02738355,0.26166433,1.3543975,"[1.3137752,2.502989,3.1496327,3.989506]",9.2040825,10.0,7.454146,18.04464,2.0499911,21.50035,0.73302805,99.0,21.002748,22.39748,4.6581836,99.0,20.54751,99.0,20.803356,21.103437,0.41071802,20.88036,0.7783113,20.881197,0.31284887,20.969967,20.837484,20.857252,0.31359422,20.710848,0.35633448,21.713993,1.9479142,21.071646,0.8985455,6,0.7666293358235498
iDR3.SPLUS-s25s32.020274,48.86998999790308,-32.34320602018615,0.0008764067,0.33675456,1.5077375,"[1.5047083,2.7843037,3.9834678,6.6833186]",7.891446,18.0,6.8528547,17.98762,2.0317214,24.38673,8.939457,25.807812,54.228752,22.415478,4.0581837,99.0,20.54751,21.42576,1.4571707,22.042093,0.8418834,21.016197,0.7633907,20.785234,0.24677044,20.889812,20.68007,20.534212,0.20118779,20.322979,0.2163753,19.948757,0.33298948,19.849985,0.2530802,6,0.7724853107987601
iDR3.SPLUS-s25s32.020282,49.0129024883178,-32.34334131416049,0.06267488,0.04948932,1.052066,"[1.3272332,2.5666437,4.9429555,5.7555614]",7.0799665,9.0,7.0886316,18.345816,1.2156,21.822666,0.63689476,21.169165,0.57309425,22.099531,2.2841687,20.461035,0.4607522,99.0,20.803356,99.0,21.97403,20.469193,0.34749892,21.201296,0.27221838,22.133434,21.710392,22.037283,0.5997583,20.643028,0.21788138,20.054619,0.27565137,19.81473,0.18398872,6,0.732191861524139
iDR3.SPLUS-s25s32.020300,48.59963210108669,-32.34090505423287,0.028708052,0.21284962,1.2704053,"[1.4280708,2.5973117,3.992187,7.7432237]",6.946682,13.0,7.091552,17.863577,1.6333622,21.860764,0.77432024,99.0,21.002748,22.898582,5.598193,21.836782,2.0182915,28.624407,1024.2755,21.416697,0.44115222,22.328756,2.3720272,21.952291,0.65709716,22.014668,21.793411,21.652424,0.51108795,20.025694,0.15209566,22.089869,2.1737838,19.933811,0.24947998,6,0.6142734087002084
