ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s25s32.020036,49.49432849433696,-32.3505629663833,0.45962408,0.44987488,1.8177682,"[1.242211,2.5662715,5.71492,6.890029]",6.085031,4.0,7.132851,18.22932,1.3756977,22.587456,1.1291546,22.899883,2.4642196,23.743624,9.103685,23.058073,4.3313804,21.155928,0.74027354,22.343533,0.7218432,21.959938,1.1804967,21.923925,0.45811942,22.02014,22.050888,21.547064,0.3327708,20.859621,0.22817954,21.274414,0.72295064,21.610172,0.81943,6
iDR3.SPLUS-s25s32.000003,48.584174054264935,-32.9438116900758,0.35485587,0.5407952,2.1776776,"[1.6309174,6.080961,8.323008,8.323008]",5.5991454,3.0,8.338106,17.924402,1.3871679,99.0,21.589981,26.426805,63.890427,99.0,20.432768,25.716606,55.44349,99.0,20.803356,22.421576,0.8581217,99.0,21.03316,21.640142,0.3772573,21.733967,22.002377,22.599194,0.93122745,21.177631,0.3376402,23.768717,7.8717294,20.785189,0.4214352,6
iDR3.SPLUS-s25s32.020094,49.98945702948473,-32.34765621290752,0.35941443,0.614246,2.592326,"[1.7771757,4.343724,5.75436,8.281901]",0.0,1.0,7.8760843,18.06662,2.1210775,21.039108,0.37584147,99.0,21.002748,22.49933,3.9956405,99.0,20.54751,20.707075,0.69272435,21.228827,0.36702645,23.033533,4.4833727,21.886637,0.6167344,22.345322,22.107891,20.608524,0.19619052,20.660837,0.26800543,20.264135,0.4039337,20.136244,0.2989352,6
iDR3.SPLUS-s25s32.020131,49.08464660520606,-32.34738931236401,0.0016870158,0.14709592,1.1724647,"[1.2690732,2.1671884,2.9067676,4.002029]",10.163368,16.0,6.591668,17.857449,1.8374811,99.0,21.589981,22.496576,2.5660026,20.92575,1.0296353,20.311605,0.52876276,20.780056,0.79588825,21.150784,0.36713618,20.048483,0.31110355,20.371187,0.16802496,20.751575,20.507515,20.539282,0.20092617,21.079853,0.42779213,21.30745,1.1456741,20.711657,0.5516937,6
iDR3.SPLUS-s25s32.020154,49.12079556405395,-32.346760849508534,0.35212654,0.57000864,2.3256283,"[2.2475142,4.255869,5.7240915,9.093431]",0.0,0.0,9.242299,18.459253,1.5155718,99.0,21.589981,99.0,21.002748,21.61045,1.581265,20.54778,0.53834724,24.031395,12.957118,21.162712,0.3044149,21.856367,1.3363166,21.11752,0.27268866,21.27736,21.066496,21.307652,0.33264396,20.876568,0.29086217,20.78164,0.5786103,21.31314,0.7851818,6
iDR3.SPLUS-s25s32.020167,48.99887611965361,-32.34629861428467,0.079947755,0.368976,1.5847257,"[1.0609581,1.928098,2.6100047,3.696454]",5.91568,8.0,6.762239,18.250412,1.5371802,23.329994,2.4743235,99.0,21.002748,21.375847,1.1440635,21.481037,1.140747,99.0,20.803356,22.532845,0.9632144,99.0,21.03316,21.91085,0.5074369,21.84273,21.736881,21.57514,0.38238153,22.203756,0.88770485,20.599016,0.4416433,20.181122,0.25048912,6
iDR3.SPLUS-s25s32.020182,48.6004144594465,-32.343947404804084,0.034599185,0.26882803,1.3676673,"[1.5617489,3.251699,4.6785088,7.5773873]",7.2597737,17.0,6.968229,17.659794,2.0801048,22.326939,1.4321038,22.30588,2.3014035,20.225346,0.5788076,21.438179,1.6864792,20.838326,0.9523066,21.038763,0.37566897,21.045513,0.87899834,20.650911,0.23987247,20.92416,20.876404,20.091341,0.14761266,20.26937,0.22873762,20.099424,0.4203691,19.679434,0.23795731,6
iDR3.SPLUS-s25s32.020187,49.56783920118894,-32.34619081323592,0.017363427,0.20760852,1.2620025,"[1.6534859,3.4763854,4.7773075,6.6946874]",10.136408,9.0,8.775586,18.085676,1.9624499,20.540108,0.36341208,99.0,21.002748,19.708567,0.47144705,20.554644,0.91572875,99.0,20.803356,20.416897,0.25955254,20.279417,0.531876,20.402905,0.23890385,21.30577,20.269379,20.622673,0.29940236,21.611046,0.95839095,19.728241,0.36847106,20.827831,0.8434057,6
iDR3.SPLUS-s25s32.020192,48.863412379031104,-32.34515253231793,0.27887005,0.21926248,1.2808403,"[0.8268616,1.3060769,1.6759771,2.0940735]",3.2113233,5.0,6.988304,18.184616,1.5178416,23.02422,2.1077924,21.846762,1.1701818,99.0,20.432768,99.0,20.54751,20.08637,0.35369506,99.0,21.97403,23.151669,4.4940677,21.794683,0.5151312,21.388641,21.34677,21.528685,0.41358653,21.499344,0.5266874,20.249308,0.36298934,99.0,21.001133,6
iDR3.SPLUS-s25s32.020197,48.89285547440951,-32.34515964773021,0.35058784,0.49351525,1.974393,"[1.2091384,2.0684462,2.988887,4.4429803]",6.3464117,2.0,7.1781397,18.441517,1.4945277,22.643341,1.2192575,21.823551,0.9411104,99.0,20.432768,99.0,20.54751,23.490915,6.6046896,99.0,21.97403,22.439764,1.916141,21.346947,0.28101844,21.534006,21.396736,20.97776,0.20602828,21.623562,0.48478585,20.679234,0.4423689,20.843212,0.42783996,6
